match_id,match,teamInnings,battingPos,batsmanName,out/not_out,runs,balls,4s,6s,SR
T209349,Mumbai Vs Capitals,Mumbai,6.00,HardikPandya,out,17.00,18.00,2.00,0.00,94.44
T209349,Mumbai Vs Capitals,Mumbai,7.00,KrunalPandya,not_out,13.00,15.00,1.00,1.00,86.66
T209349,Mumbai Vs Capitals,Mumbai,8.00,NathanCoulter-Nile,out,1.00,2.00,0.00,0.00,50.00
T209349,Mumbai Vs Capitals,Mumbai,9.00,JayantYadav,out,11.00,4.00,1.00,1.00,275.00
T209349,Mumbai Vs Capitals,Mumbai,10.00,JaspritBumrah,not_out,1.00,1.00,0.00,0.00,100.00
T209349,Mumbai Vs Capitals,Capitals,1.00,PrithviShaw,out,6.00,7.00,1.00,0.00,85.71
T209349,Mumbai Vs Capitals,Capitals,2.00,ShikharDhawan,out,8.00,7.00,0.00,1.00,114.28
T209349,Mumbai Vs Capitals,Capitals,3.00,StevenSmith,out,9.00,8.00,0.00,1.00,112.50
T209349,Mumbai Vs Capitals,Capitals,4.00,RishabhPant,out,26.00,22.00,3.00,1.00,118.18
T209349,Mumbai Vs Capitals,Capitals,5.00,ShreyasIyer,not_out,33.00,33.00,2.00,0.00,100.00
T209349,Mumbai Vs Capitals,Capitals,6.00,AxarPatel,out,9.00,9.00,1.00,0.00,100.00
T209349,Mumbai Vs Capitals,Capitals,7.00,ShimronHetmyer,out,15.00,8.00,2.00,0.00,187.50
T209349,Mumbai Vs Capitals,Capitals,8.00,RavichandranAshwin,not_out,20.00,21.00,0.00,1.00,95.23
T201051,KKR Vs Punjab Kings,KKR,1.00,VenkateshIyer,out,67.00,49.00,9.00,1.00,136.73
T201051,KKR Vs Punjab Kings,KKR,2.00,ShubmanGill,out,7.00,7.00,1.00,0.00,100.00
T201051,KKR Vs Punjab Kings,KKR,3.00,RahulTripathi,out,34.00,26.00,3.00,1.00,130.76
T201051,KKR Vs Punjab Kings,KKR,4.00,NitishRana,out,31.00,18.00,2.00,2.00,172.22
T201051,KKR Vs Punjab Kings,KKR,5.00,EoinMorgan,out,2.00,2.00,0.00,0.00,100.00
T201051,KKR Vs Punjab Kings,KKR,6.00,DineshKarthik,out,11.00,11.00,0.00,0.00,100.00
T201051,KKR Vs Punjab Kings,KKR,7.00,TimSeifert,out,2.00,4.00,0.00,0.00,50.00
T201051,KKR Vs Punjab Kings,KKR,8.00,SunilNarine,not_out,3.00,3.00,0.00,0.00,100.00
T201051,KKR Vs Punjab Kings,Punjab Kings,1.00,KLRahul,out,67.00,55.00,4.00,2.00,121.81
