team1,team2,winner,margin,matchDate,match_id
Royals,Sunrisers,Royals,55 runs,2021-05-02,T209103
Super Kings,Mumbai,Mumbai,4 wickets,2021-05-01,T203694
Punjab Kings,RCB,Punjab Kings,34 runs,2021-04-30,T208245
KKR,Capitals,Capitals,7 wickets,2021-04-29,T201595
Royals,Mumbai,Mumbai,7 wickets,2021-04-29,T209461
Sunrisers,Super Kings,Super Kings,7 wickets,2021-04-28,T205094
RCB,Capitals,RCB,1 run,2021-04-27,T208915
Punjab Kings,KKR,KKR,5 wickets,2021-04-26,T209997
Super Kings,RCB,Super Kings,69 runs,2021-04-25,T202915
KKR,Royals,Royals,6 wickets,2021-04-24,T205585
Mumbai,Punjab Kings,Punjab Kings,9 wickets,2021-04-23,T204808
Royals,RCB,RCB,10 wickets,2021-04-22,T201545
Super Kings,KKR,Super Kings,18 runs,2021-04-21,T202233
Punjab Kings,Sunrisers,Sunrisers,9 wickets,2021-04-21,T204912
Mumbai,Capitals,Capitals,6 wickets,2021-04-20,T207273
Super Kings,Royals,Super Kings,45 runs,2021-04-19,T209089
Punjab Kings,Capitals,Capitals,6 wickets,2021-04-18,T209593
RCB,KKR,RCB,38 runs,2021-04-18,T202791
Mumbai,Sunrisers,Mumbai,13 runs,2021-04-17,T201372
Punjab Kings,Super Kings,Super Kings,6 wickets,2021-04-16,T205292
Capitals,Royals,Royals,3 wickets,2021-04-15,T203570
RCB,Sunrisers,RCB,6 runs,2021-04-14,T202204
Mumbai,KKR,Mumbai,10 runs,2021-04-13,T209194
Punjab Kings,Royals,Punjab Kings,4 runs,2021-04-12,T207896
KKR,Sunrisers,KKR,10 runs,2021-04-11,T209178
Super Kings,Capitals,Capitals,7 wickets,2021-04-10,T206363
Mumbai,RCB,RCB,2 wickets,2021-04-09,T203784
Royals,Titans,Titans,7 wickets,2022-05-29,T202715
RCB,Royals,Royals,7 wickets,2022-05-27,T201109
RCB,Super Giants,RCB,14 runs,2022-05-25,T207136
Royals,Titans,Titans,7 wickets,2022-05-24,T203302
Sunrisers,Punjab Kings,Punjab Kings,5 wickets,2022-05-22,T204029
Capitals,Mumbai,Mumbai,5 wickets,2022-05-21,T205729
Super Kings,Royals,Royals,5 wickets,2022-05-20,T203588
Titans,RCB,RCB,8 wickets,2022-05-19,T201867
Super Giants,KKR,Super Giants,2 runs,2022-05-18,T202863
Sunrisers,Mumbai,Sunrisers,3 runs,2022-05-17,T206060
Capitals,Punjab Kings,Capitals,17 runs,2022-05-16,T209295
Royals,Super Giants,Royals,24 runs,2022-05-15,T204939
Super Kings,Titans,Titans,7 wickets,2022-05-15,T204140
KKR,Sunrisers,KKR,54 runs,2022-05-14,T209676
Punjab Kings,RCB,Punjab Kings,54 runs,2022-05-13,T203332
Super Kings,Mumbai,Mumbai,5 wickets,2022-05-12,T203878
Royals,Capitals,Capitals,8 wickets,2022-05-11,T201826
Titans,Super Giants,Titans,62 runs,2022-05-10,T207400
KKR,Mumbai,KKR,52 runs,2022-05-09,T203087
Super Kings,Capitals,Super Kings,91 runs,2022-05-08,T205352
RCB,Sunrisers,RCB,67 runs,2022-05-08,T207464
Super Giants,KKR,Super Giants,75 runs,2022-05-07,T204710
Punjab Kings,Royals,Royals,6 wickets,2022-05-07,T201231
Mumbai,Titans,Mumbai,5 runs,2022-05-06,T201720
Capitals,Sunrisers,Capitals,21 runs,2022-05-05,T201248
RCB,Super Kings,RCB,13 runs,2022-05-04,T207511
Titans,Punjab Kings,Punjab Kings,8 wickets,2022-05-03,T209502
Royals,KKR,KKR,7 wickets,2022-05-02,T201137
Super Kings,Sunrisers,Super Kings,13 runs,2022-05-01,T206274
Super Giants,Capitals,Super Giants,6 runs,2022-05-01,T208561
Royals,Mumbai,Mumbai,5 wickets,2022-04-30,T204259
RCB,Titans,Titans,6 wickets,2022-04-30,T208841
Super Giants,Punjab Kings,Super Giants,20 runs,2022-04-29,T207116
KKR,Capitals,Capitals,4 wickets,2022-04-28,T209582
Sunrisers,Titans,Titans,5 wickets,2022-04-27,T209115
Royals,RCB,Royals,29 runs,2022-04-26,T205212
Punjab Kings,Super Kings,Punjab Kings,11 runs,2022-04-25,T207611
Super Giants,Mumbai,Super Giants,36 runs,2022-04-24,T208801
RCB,Sunrisers,Sunrisers,9 wickets,2022-04-23,T208774
